
Circuit: * sram 4x4 read testbench

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
sky130_fd_pr__esd_nfet_05v0_nvt.pm3               0
                                             0
clk                                          0
vdd                                        1.8
xsram.bank_din_0                           1.8
xsram.dff_din_b_0                  1.78603e-05
vss                                          0
xsram.bank_din_1                           1.8
xsram.dff_din_b_1                  1.78603e-05
xsram.bank_addr_0                      1.79999
xsram.bank_addr_b_0                1.90429e-05
xsram.bank_addr_1                          1.8
xsram.bank_addr_b_1                1.78581e-05
xsram.bank_addr_2                          1.8
xsram.bank_addr_b_2                5.67681e-06
xsram.bank_we                      6.18297e-06
xsram.bank_we_b                            1.8
we                                         1.8
xsram.xdecoder.xnand_3.x               0.13405
xsram.wl_data_b_0                          1.8
xsram.wl_data_0                    2.42397e-06
xsram.xdecoder.xnand_5.x               1.48928
xsram.wl_data_b_1                          1.8
xsram.wl_data_1                    2.42397e-06
xsram.xdecoder.xnand_7.x           1.78468e-09
xsram.wl_data_b_2                          1.8
xsram.wl_data_2                    2.41751e-06
xsram.xdecoder.xnand_9.x           2.38451e-06
xsram.wl_data_b_3                  4.76903e-06
xsram.wl_data_3                            1.8
xsram.xwl_driver_array.xwl_driver_0.xand2.xnand.x         1.48928
xsram.xwl_driver_array.xwl_driver_0.xand2.tmp             1.8
xsram.wl_en                                1.8
xsram.wl_0                         2.67697e-06
xsram.xwl_driver_array.xwl_driver_1.xand2.xnand.x         1.48928
xsram.xwl_driver_array.xwl_driver_1.xand2.tmp             1.8
xsram.wl_1                         2.67697e-06
xsram.xwl_driver_array.xwl_driver_2.xand2.xnand.x          3.0878
xsram.xwl_driver_array.xwl_driver_2.xand2.tmp             1.8
xsram.wl_2                         2.67697e-06
xsram.xwl_driver_array.xwl_driver_3.xand2.xnand.x     2.38466e-06
xsram.xwl_driver_array.xwl_driver_3.xand2.tmp     4.76933e-06
xsram.wl_3                                 1.8
xsram.xbitcells.xbitcell_0_0.qb     7.00279e-09
xsram.br_0                         6.06287e-05
xsram.xbitcells.xbitcell_0_0.q             1.8
xsram.bl_0                             1.62077
xsram.xbitcells.xbitcell_0_1.qb     5.00499e-09
xsram.br_1                         6.44248e-05
xsram.xbitcells.xbitcell_0_1.q             1.8
xsram.bl_1                             1.62119
xsram.xbitcells.xbitcell_0_2.qb     7.00279e-09
xsram.br_2                         6.06287e-05
xsram.xbitcells.xbitcell_0_2.q             1.8
xsram.bl_2                             1.62077
xsram.xbitcells.xbitcell_0_3.qb     5.00507e-09
xsram.br_3                         6.44248e-05
xsram.xbitcells.xbitcell_0_3.q             1.8
xsram.bl_3                             1.62119
xsram.xbitcells.xbitcell_1_0.qb     7.00279e-09
xsram.xbitcells.xbitcell_1_0.q             1.8
xsram.xbitcells.xbitcell_1_1.qb     5.00499e-09
xsram.xbitcells.xbitcell_1_1.q             1.8
xsram.xbitcells.xbitcell_1_2.qb     7.00279e-09
xsram.xbitcells.xbitcell_1_2.q             1.8
xsram.xbitcells.xbitcell_1_3.qb     5.00507e-09
xsram.xbitcells.xbitcell_1_3.q             1.8
xsram.xbitcells.xbitcell_2_0.qb     7.00279e-09
xsram.xbitcells.xbitcell_2_0.q             1.8
xsram.xbitcells.xbitcell_2_1.qb     5.00499e-09
xsram.xbitcells.xbitcell_2_1.q             1.8
xsram.xbitcells.xbitcell_2_2.qb     7.00279e-09
xsram.xbitcells.xbitcell_2_2.q             1.8
xsram.xbitcells.xbitcell_2_3.qb     5.00507e-09
xsram.xbitcells.xbitcell_2_3.q             1.8
xsram.xbitcells.xbitcell_3_0.qb     2.52989e-05
xsram.xbitcells.xbitcell_3_0.q             1.8
xsram.xbitcells.xbitcell_3_1.qb     2.68215e-05
xsram.xbitcells.xbitcell_3_1.q             1.8
xsram.xbitcells.xbitcell_3_2.qb     2.52989e-05
xsram.xbitcells.xbitcell_3_2.q             1.8
xsram.xbitcells.xbitcell_3_3.qb     2.68215e-05
xsram.xbitcells.xbitcell_3_3.q             1.8
xsram.pc_b                                 1.8
xsram.xwrite_mux_array.xmux_0.x     6.06305e-05
xsram.bank_din_b_0                  4.6724e-06
xsram.write_driver_en_0            2.78549e-06
xsram.xwrite_mux_array.xmux_1.x     6.43512e-05
xsram.write_driver_en_1            2.82136e-06
xsram.xwrite_mux_array.xmux_2.x     6.06305e-05
xsram.bank_din_b_1                  4.6724e-06
xsram.xwrite_mux_array.xmux_3.x     6.43512e-05
xsram.bl_read_0                        1.62123
xsram.br_read_0                       0.155728
xsram.bl_read_1                        1.62123
xsram.br_read_1                       0.155728
xsram.xsense_amp_array.xsense_amp_0.tail       0.0010012
xsram.sense_amp_en                     1.79996
xsram.sa_outp_0                         1.7931
xsram.xsense_amp_array.data_b_0      0.00509093
xsram.xsense_amp_array.xsense_amp_0.midp         1.63398
xsram.xsense_amp_array.xsense_amp_0.midn      0.00327606
xsram.xsense_amp_array.xsense_amp_1.tail       0.0010012
xsram.sa_outp_1                         1.7931
xsram.xsense_amp_array.data_b_1      0.00509093
xsram.xsense_amp_array.xsense_amp_1.midp         1.63398
xsram.xsense_amp_array.xsense_amp_1.midn      0.00327606
xsram.xdout_buf_array.xbuf_0.x1       0.0043678
dout_0                                 1.79684
xsram.xdout_buf_array.xbuf_0.x2        0.130685
xsram.sa_outn_0                        0.96685
xsram.dout_b_0                             1.8
xsram.xdout_buf_array.xbuf_1.x1       0.0043678
dout_1                                 1.79684
xsram.xdout_buf_array.xbuf_1.x2        0.130685
xsram.sa_outn_1                        0.96685
xsram.dout_b_1                             1.8
xsram.wr_en                        2.65866e-11
xsram.xsramgen_control_logic.x_delay_sae.din_b             1.8
xsram.xsramgen_control_logic.x_delay_sae.tmp1     6.15334e-09
xsram.xsramgen_control_logic.x_delay_sae.tmp2             1.8
xsram.xsramgen_control_logic.x_delay_sae.tmp3     6.15334e-09
xsram.xsramgen_control_logic.x_delay_sae.tmp4             1.8
xsram.xsramgen_control_logic.x_delay_sae.tmp5     6.15334e-09
xsram.xsramgen_control_logic.x_delay_sae.tmp6             1.8
xsram.xsramgen_control_logic.x_delay_sae.tmp7     6.15334e-09
xsram.xsramgen_control_logic.x_delay_sae.tmp8             1.8
xsram.xsramgen_control_logic.x_delay_sae.tmp9     6.15334e-09
xsram.xsramgen_control_logic.x_delay_sae.tmp10             1.8
xsram.xsramgen_control_logic.x_delay_sae.tmp11     6.15334e-09
xsram.xsramgen_control_logic.x_delay_sae.tmp12             1.8
xsram.xsramgen_control_logic.x_delay_sae.tmp13     6.15334e-09
xsram.xsramgen_control_logic.x_delay_sae.tmp14             1.8
xsram.xsramgen_control_logic.x_delay_sae.tmp15     6.15334e-09
xsram.xsramgen_control_logic.x_delay_sae.tmp16             1.8
xsram.xsramgen_control_logic.x_delay_sae.tmp17     6.15334e-09
xsram.xsramgen_control_logic.x_delay_sae.tmp18             1.8
xsram.xsramgen_control_logic.x_delay_sae.tmp19     6.15334e-09
xsram.xsramgen_control_logic.x_delay_sae.tmp20             1.8
xsram.xsramgen_control_logic.x_delay_sae.tmp21     6.12676e-09
xsram.xsramgen_control_logic.x_delay_sae.tmp22             1.8
xsram.xsramgen_control_logic.x_delay_sae.tmp23    -8.56585e-07
xsram.xwe_control.xand2_0.xnand.x       0.0138082
xsram.xwe_control.xand2_0.tmp              1.8
xsram.xwe_control.xand2_1.xnand.x    -4.58526e-08
xsram.xwe_control.xand2_1.tmp              1.8
vwe#branch                        -1.61915e-18
vdd#branch                        -0.000130882
vss#branch                          0.00013066
vclk#branch                       -9.81428e-11


No. of Data Rows : 3671
